cell_type,sample,rank,gene,degree_centrality_all
Epi_Kit+Elf5+,KO_DM,1,Tfap2b,0.38461538461538464
Epi_Kit+Elf5+,KO_DM,2,Tcf7l2,0.3534798534798535
Epi_Kit+Elf5+,KO_DM,3,Xbp1,0.1446886446886447
Epi_Kit+Elf5+,KO_DM,4,Etv6,0.14102564102564102
Epi_Kit+Elf5+,KO_DM,5,Hes1,0.13003663003663005
Epi_Kit+Elf5+,KO_DM,6,Zbtb7c,0.1282051282051282
Epi_Kit+Elf5+,KO_DM,7,Plag1,0.1227106227106227
Epi_Kit+Elf5+,KO_DM,8,Rora,0.12087912087912088
Epi_Kit+Elf5+,KO_DM,9,Npas3,0.11721611721611722
Epi_Kit+Elf5+,KO_DM,10,Jund,0.11355311355311355
Epi_Kit+Elf5+,KO_DM,11,Nfib,0.11172161172161173
Epi_Kit+Elf5+,KO_DM,12,Creb5,0.10805860805860806
Epi_Kit+Elf5+,KO_DM,13,Ehf,0.10073260073260074
Epi_Kit+Elf5+,KO_DM,14,Nr3c2,0.09157509157509157
Epi_Kit+Elf5+,KO_DM,15,Ahr,0.08608058608058608
Epi_Kit+Elf5+,KO_DM,16,Thrb,0.07692307692307693
Epi_Kit+Elf5+,KO_DM,17,Pbx1,0.07509157509157509
Epi_Kit+Elf5+,KO_DM,18,Polr2a,0.07326007326007326
Epi_Kit+Elf5+,KO_DM,19,Foxp1,0.07142857142857142
Epi_Kit+Elf5+,KO_DM,20,Runx1,0.06776556776556776
Epi_Kit+Elf5+,WT_DM,1,Tcf7l2,0.33078393881453155
Epi_Kit+Elf5+,WT_DM,2,Zbtb7c,0.2695984703632887
Epi_Kit+Elf5+,WT_DM,3,Tfap2b,0.23518164435946462
Epi_Kit+Elf5+,WT_DM,4,Nfib,0.1835564053537285
Epi_Kit+Elf5+,WT_DM,5,Rora,0.18164435946462715
Epi_Kit+Elf5+,WT_DM,6,Xbp1,0.15487571701720843
Epi_Kit+Elf5+,WT_DM,7,Hes1,0.14531548757170173
Epi_Kit+Elf5+,WT_DM,8,Tal1,0.14340344168260039
Epi_Kit+Elf5+,WT_DM,9,Npas3,0.13575525812619502
Epi_Kit+Elf5+,WT_DM,10,Etv6,0.12045889101338432
Epi_Kit+Elf5+,WT_DM,11,Hivep3,0.1089866156787763
Epi_Kit+Elf5+,WT_DM,12,Ahr,0.09560229445506692
Epi_Kit+Elf5+,WT_DM,13,Creb5,0.08795411089866156
Epi_Kit+Elf5+,WT_DM,14,Thrb,0.08604206500956023
Epi_Kit+Elf5+,WT_DM,15,Plag1,0.0841300191204589
Epi_Kit+Elf5+,WT_DM,16,Esr1,0.08030592734225621
Epi_Kit+Elf5+,WT_DM,17,Nr3c2,0.07839388145315487
Epi_Kit+Elf5+,WT_DM,18,Pbx1,0.07648183556405354
Epi_Kit+Elf5+,WT_DM,19,Foxp1,0.07648183556405354
Epi_Kit+Elf5+,WT_DM,20,Ehf,0.07648183556405354
Epi_Ctr9+,KO_DM,1,Ebf1,0.16018662519440124
Epi_Ctr9+,KO_DM,2,Thrb,0.15085536547433903
Epi_Ctr9+,KO_DM,3,Mlxipl,0.13841368584758942
Epi_Ctr9+,KO_DM,4,Nr3c2,0.13374805598755832
Epi_Ctr9+,KO_DM,5,Tcf12,0.1290824261275272
Epi_Ctr9+,KO_DM,6,Bhlhe40,0.1088646967340591
Epi_Ctr9+,KO_DM,7,Fos,0.1057542768273717
Epi_Ctr9+,KO_DM,8,Zeb1,0.10108864696734059
Epi_Ctr9+,KO_DM,9,Mxi1,0.08553654743390357
Epi_Ctr9+,KO_DM,10,Tfap2b,0.07776049766718507
Epi_Ctr9+,KO_DM,11,Npas3,0.07465007776049767
Epi_Ctr9+,KO_DM,12,Pgr,0.07153965785381027
Epi_Ctr9+,KO_DM,13,Mef2c,0.06998444790046657
Epi_Ctr9+,KO_DM,14,Ar,0.06998444790046657
Epi_Ctr9+,KO_DM,15,Cebpb,0.06842923794712286
Epi_Ctr9+,KO_DM,16,Pparg,0.06687402799377916
Epi_Ctr9+,KO_DM,17,Stat5a,0.06376360808709176
Epi_Ctr9+,KO_DM,18,E2f3,0.06220839813374806
Epi_Ctr9+,KO_DM,19,Trp63,0.06220839813374806
Epi_Ctr9+,KO_DM,20,Klf13,0.06220839813374806
Epi_Ctr9+,WT_DM,1,Tcf12,0.2345679012345679
Epi_Ctr9+,WT_DM,2,Ebf1,0.1755829903978052
Epi_Ctr9+,WT_DM,3,Mlxipl,0.1673525377229081
Epi_Ctr9+,WT_DM,4,Thrb,0.15363511659807957
Epi_Ctr9+,WT_DM,5,Zeb1,0.1440329218106996
Epi_Ctr9+,WT_DM,6,Nr3c2,0.10425240054869685
Epi_Ctr9+,WT_DM,7,Tfap2b,0.09465020576131687
Epi_Ctr9+,WT_DM,8,Npas3,0.08641975308641975
Epi_Ctr9+,WT_DM,9,Esr1,0.08367626886145405
Epi_Ctr9+,WT_DM,10,Creb5,0.07956104252400549
Epi_Ctr9+,WT_DM,11,Pgr,0.07681755829903979
Epi_Ctr9+,WT_DM,12,Pparg,0.07270233196159122
Epi_Ctr9+,WT_DM,13,Trp63,0.07133058984910837
Epi_Ctr9+,WT_DM,14,Klf12,0.06995884773662552
Epi_Ctr9+,WT_DM,15,Foxn3,0.06858710562414266
Epi_Ctr9+,WT_DM,16,Nfia,0.06035665294924554
Epi_Ctr9+,WT_DM,17,Etv5,0.05898491083676269
Epi_Ctr9+,WT_DM,18,Rora,0.05486968449931413
Epi_Ctr9+,WT_DM,19,Bhlhe40,0.05486968449931413
Epi_Ctr9+,WT_DM,20,Esrrg,0.05486968449931413
Bcells,KO_DM,1,Pax5,0.2358490566037736
Bcells,KO_DM,2,Ebf1,0.2138364779874214
Bcells,KO_DM,3,Mef2c,0.2059748427672956
Bcells,KO_DM,4,Tcf7l2,0.19654088050314467
Bcells,KO_DM,5,Tfap2c,0.1792452830188679
Bcells,KO_DM,6,Klf7,0.17138364779874213
Bcells,KO_DM,7,Npas2,0.1179245283018868
Bcells,KO_DM,8,Npas3,0.11163522012578617
Bcells,KO_DM,9,Mybl1,0.11006289308176101
Bcells,KO_DM,10,Fli1,0.10220125786163523
Bcells,KO_DM,11,Bcl11a,0.09748427672955975
Bcells,KO_DM,12,Gtf2i,0.09748427672955975
Bcells,KO_DM,13,Pou2f2,0.09119496855345911
Bcells,KO_DM,14,Rora,0.08333333333333333
Bcells,KO_DM,15,Nr3c2,0.06761006289308176
Bcells,KO_DM,16,Hes1,0.06761006289308176
Bcells,KO_DM,17,Bach2,0.0660377358490566
Bcells,KO_DM,18,Prdm1,0.06446540880503145
Bcells,KO_DM,19,Zbtb7c,0.06446540880503145
Bcells,KO_DM,20,Nfib,0.06446540880503145
Bcells,WT_DM,1,Tcf7l2,0.2620904836193448
Bcells,WT_DM,2,Ebf1,0.22464898595943839
Bcells,WT_DM,3,Pax5,0.21684867394695787
Bcells,WT_DM,4,Klf7,0.21684867394695787
Bcells,WT_DM,5,Tfap2c,0.1794071762870515
Bcells,WT_DM,6,Mef2c,0.15600624024961
Bcells,WT_DM,7,Fli1,0.12636505460218408
Bcells,WT_DM,8,Npas3,0.12168486739469579
Bcells,WT_DM,9,Gtf2i,0.12168486739469579
Bcells,WT_DM,10,Nfib,0.10452418096723869
Bcells,WT_DM,11,Rora,0.09516380655226209
Bcells,WT_DM,12,Bcl11a,0.08268330733229329
Bcells,WT_DM,13,Mybl1,0.0811232449297972
Bcells,WT_DM,14,Nfia,0.078003120124805
Bcells,WT_DM,15,Nfix,0.0717628705148206
Bcells,WT_DM,16,Nr3c2,0.0717628705148206
Bcells,WT_DM,17,Npas2,0.0655226209048362
Bcells,WT_DM,18,Pbx1,0.06396255850234009
Bcells,WT_DM,19,Bach2,0.060842433697347896
Bcells,WT_DM,20,Zbtb7c,0.057722308892355696
Pericytes/SMC,KO_DM,1,Prdm16,0.16243654822335024
Pericytes/SMC,KO_DM,2,Hey2,0.155668358714044
Pericytes/SMC,KO_DM,3,Ebf1,0.15397631133671744
Pericytes/SMC,KO_DM,4,Prdm1,0.14720812182741116
Pericytes/SMC,KO_DM,5,Mef2c,0.12351945854483926
