cell_type,rank,gene,degree_centrality_all
Adipocyte,1,Ebf1,0.22937625754527163
Adipocyte,2,Klf12,0.22535211267605634
Adipocyte,3,Zeb1,0.18712273641851107
Adipocyte,4,Tcf7l2,0.17303822937625754
Adipocyte,5,Klf4,0.1529175050301811
Adipocyte,6,Ets1,0.14285714285714285
Adipocyte,7,Mlxipl,0.14084507042253522
Adipocyte,8,Tfap2b,0.10663983903420524
Adipocyte,9,Maf,0.10462776659959759
Adipocyte,10,Pparg,0.096579476861167
Adipocyte,11,Foxn3,0.0925553319919517
Adipocyte,12,Stat1,0.08450704225352113
Adipocyte,13,Pbx3,0.07847082494969819
Adipocyte,14,Klf2,0.07645875251509054
Adipocyte,15,Fli1,0.07645875251509054
Adipocyte,16,Elf5,0.0744466800804829
Adipocyte,17,Trp63,0.0744466800804829
Adipocyte,18,Ehf,0.07042253521126761
Adipocyte,19,Ppargc1a,0.06639839034205232
Adipocyte,20,Nfib,0.06639839034205232
Adipocyte,21,Nfia,0.06639839034205232
Adipocyte,22,Pou2f2,0.06438631790744467
Adipocyte,23,Mbd1,0.06237424547283702
Adipocyte,24,Mitf,0.06237424547283702
Adipocyte,25,Egr1,0.06237424547283702
Adipocyte,26,Npas3,0.060362173038229376
Adipocyte,27,Mef2c,0.05835010060362173
Adipocyte,28,Bach2,0.056338028169014086
Adipocyte,29,Ppara,0.056338028169014086
Adipocyte,30,Creb5,0.056338028169014086
Adipocyte,31,Pbx1,0.05432595573440644
Adipocyte,32,Ebf3,0.052313883299798795
Adipocyte,33,Msc,0.052313883299798795
Adipocyte,34,Acly,0.05030181086519115
Adipocyte,35,Ahr,0.0482897384305835
Adipocyte,36,Gss,0.0482897384305835
Adipocyte,37,Zbtb16,0.04627766599597585
Adipocyte,38,Zbtb7c,0.04627766599597585
Adipocyte,39,Fgf14,0.04627766599597585
Adipocyte,40,Rora,0.04627766599597585
Adipocyte,41,Bcl11b,0.04627766599597585
Adipocyte,42,Tkt,0.04426559356136821
Adipocyte,43,Rel,0.04225352112676056
Adipocyte,44,Sp4,0.04225352112676056
Adipocyte,45,Pgm3,0.04024144869215292
Adipocyte,46,Bcl11a,0.04024144869215292
Adipocyte,47,Tcf15,0.03822937625754527
Adipocyte,48,Npr3,0.03822937625754527
Adipocyte,49,Mafb,0.03822937625754527
Adipocyte,50,Prrx1,0.03621730382293763
BasalEpi_Acta2+Trp63,1,Mef2c,0.2144212523719165
BasalEpi_Acta2+Trp63,2,Ehf,0.2125237191650854
BasalEpi_Acta2+Trp63,3,Tfap2b,0.18785578747628084
BasalEpi_Acta2+Trp63,4,Tcf7l2,0.1859582542694497
BasalEpi_Acta2+Trp63,5,Stat1,0.16888045540796964
BasalEpi_Acta2+Trp63,6,Elf5,0.1650853889943074
BasalEpi_Acta2+Trp63,7,Bcl11a,0.16318785578747627
BasalEpi_Acta2+Trp63,8,Klf12,0.14990512333965844
BasalEpi_Acta2+Trp63,9,Pbx3,0.14800759013282733
BasalEpi_Acta2+Trp63,10,Trp63,0.14800759013282733
BasalEpi_Acta2+Trp63,11,Ets1,0.12144212523719165
BasalEpi_Acta2+Trp63,12,Fli1,0.0967741935483871
BasalEpi_Acta2+Trp63,13,Npas3,0.09297912713472485
BasalEpi_Acta2+Trp63,14,Creb5,0.09297912713472485
BasalEpi_Acta2+Trp63,15,Zeb1,0.0872865275142315
BasalEpi_Acta2+Trp63,16,Klf2,0.08538899430740038
BasalEpi_Acta2+Trp63,17,Foxn3,0.07210626185958255
BasalEpi_Acta2+Trp63,18,Pax5,0.07020872865275142
BasalEpi_Acta2+Trp63,19,Ebf1,0.0683111954459203
BasalEpi_Acta2+Trp63,20,Nfib,0.06641366223908918
BasalEpi_Acta2+Trp63,21,Hey2,0.06451612903225806
BasalEpi_Acta2+Trp63,22,Tcf4,0.06451612903225806
BasalEpi_Acta2+Trp63,23,Sp4,0.056925996204933584
BasalEpi_Acta2+Trp63,24,Bcl11b,0.056925996204933584
BasalEpi_Acta2+Trp63,25,Tfcp2l1,0.05502846299810247
BasalEpi_Acta2+Trp63,26,Rora,0.05313092979127135
BasalEpi_Acta2+Trp63,27,Mbd1,0.05313092979127135
BasalEpi_Acta2+Trp63,28,Zbtb7c,0.05313092979127135
BasalEpi_Acta2+Trp63,29,Nfia,0.04743833017077799
BasalEpi_Acta2+Trp63,30,Runx3,0.04364326375711575
BasalEpi_Acta2+Trp63,31,Maf,0.04364326375711575
BasalEpi_Acta2+Trp63,32,Pbx1,0.04174573055028463
BasalEpi_Acta2+Trp63,33,Ikzf1,0.03984819734345351
BasalEpi_Acta2+Trp63,34,Ahr,0.03984819734345351
BasalEpi_Acta2+Trp63,35,Pou2f2,0.03795066413662239
BasalEpi_Acta2+Trp63,36,Kcnq5,0.03795066413662239
BasalEpi_Acta2+Trp63,37,Tal1,0.036053130929791274
BasalEpi_Acta2+Trp63,38,Fhod3,0.03415559772296015
BasalEpi_Acta2+Trp63,39,Myh11,0.030360531309297913
BasalEpi_Acta2+Trp63,40,Erbb4,0.028462998102466792
BasalEpi_Acta2+Trp63,41,Acta2,0.028462998102466792
BasalEpi_Acta2+Trp63,42,Wnt5b,0.028462998102466792
BasalEpi_Acta2+Trp63,43,Fosl2,0.028462998102466792
BasalEpi_Acta2+Trp63,44,Rbpj,0.026565464895635674
BasalEpi_Acta2+Trp63,45,Lars2,0.026565464895635674
BasalEpi_Acta2+Trp63,46,Lef1,0.026565464895635674
BasalEpi_Acta2+Trp63,47,Mafb,0.026565464895635674
BasalEpi_Acta2+Trp63,48,Xkr4,0.026565464895635674
BasalEpi_Acta2+Trp63,49,Sdk1,0.026565464895635674
BasalEpi_Acta2+Trp63,50,Klf8,0.024667931688804556
Bcells,1,Ets1,0.22540250447227192
Bcells,2,Tcf7l2,0.2110912343470483
Bcells,3,Stat1,0.17531305903398928
Bcells,4,Fli1,0.13595706618962433
Bcells,5,Pax5,0.13595706618962433
Bcells,6,Bcl11a,0.11806797853309481
Bcells,7,Klf12,0.11806797853309481
Bcells,8,Ehf,0.11627906976744186
Bcells,9,Elf5,0.11627906976744186
Bcells,10,Mef2c,0.11091234347048301
Bcells,11,Zeb1,0.10196779964221825
Bcells,12,Ebf1,0.1001788908765653
Bcells,13,Bcl11b,0.09481216457960644
Bcells,14,Nfia,0.08944543828264759
Bcells,15,Tfap2b,0.08765652951699464
Bcells,16,Nfib,0.08407871198568873
Bcells,17,Mbd1,0.08050089445438283
Bcells,18,Npas3,0.08050089445438283
Bcells,19,Pbx3,0.07692307692307693
Bcells,20,Ahr,0.06618962432915922
Bcells,21,Tal1,0.06082289803220036
Bcells,22,Rora,0.059033989266547404
Bcells,23,Mlxipl,0.057245080500894455
Bcells,24,Zbtb7c,0.057245080500894455
Bcells,25,Creb5,0.057245080500894455
Bcells,26,Runx3,0.055456171735241505
Bcells,27,Stat4,0.055456171735241505
Bcells,28,Irf4,0.0518783542039356
Bcells,29,Pbx1,0.04830053667262969
Bcells,30,Sp4,0.04830053667262969
Bcells,31,Pou2f2,0.044722719141323794
Bcells,32,Foxn3,0.04293381037567084
Bcells,33,Nfatc2,0.04114490161001789
Bcells,34,Jdp2,0.04114490161001789
Bcells,35,Tcf4,0.03935599284436494
Bcells,36,Nfatc1,0.03756708407871199
Bcells,37,Lef1,0.03756708407871199
Bcells,38,Elk3,0.03577817531305903
Bcells,39,Erg,0.03220035778175313
Bcells,40,Ppara,0.03220035778175313
Bcells,41,Egr1,0.028622540250447227
Bcells,42,Irf8,0.028622540250447227
